Time (s),Shaft Speed (degrees/s)
17.37647795677185,-4.0
17.42918848991394,-2.0
17.482372999191284,-7.0
17.535640954971313,-7.0
17.58833146095276,-5.0
17.64057970046997,-3.0
17.692267179489136,-4.0
17.74396562576294,-7.0
17.79729413986206,-5.0
17.853914260864258,-4.0
17.90745997428894,-8.0
17.960157871246338,-8.0
18.01262855529785,-4.0
18.065834999084473,-5.0
18.11900544166565,-5.0
18.171931743621826,-8.0
18.225329399108887,-6.0
18.277071475982666,-4.0
18.333003044128418,-5.0
18.38722562789917,-9.0
18.440751314163208,-9.0
18.493475198745728,-6.0
18.54823589324951,-7.0
18.60272479057312,-9.0
18.655553102493286,-10.0
18.710368633270264,-5.0
18.76215648651123,-4.0
18.814781665802002,-10.0
18.86752963066101,-7.0
18.920263051986694,-2.0
18.973212242126465,-2.0
19.02662181854248,-9.0
19.078458786010742,-5.0
19.133534908294678,0.0
19.187525033950806,-3.0
19.240952968597412,-3.0
19.29387903213501,-4.0
19.348463535308838,-1.0
19.402453184127808,-1.0
19.455341339111328,-1.0
19.507945775985718,-1.0
19.560102939605713,-4.0
19.612797021865845,-3.0
19.666203022003174,24.0
19.719245672225952,57.0
19.77221441268921,86.0
19.825461864471436,96.0
19.87714982032776,98.0
19.930765867233276,101.0
19.984506130218506,67.0
20.037336587905884,38.0
20.091230869293213,9.0
20.143582582473755,-23.0
20.1984601020813,-55.0
20.252068281173706,-88.0
20.305224657058716,-87.0
20.35782289505005,-66.0
20.410033702850342,-49.0
20.461585521697998,-10.0
20.513941287994385,0.0
20.56689763069153,0.0
20.619286060333252,0.0
