Time (s),Current (A),Shaft Speed (rpm),Shaft Angle (deg),Position (deg)
2.5817813873291016,1.459999918937683,208.0,26011.71875,26037.454791025026
2.5852959156036377,1.8799999952316284,209.0,26012.439453125,26038.093008074964
2.5898916721343994,2.5999999046325684,208.0,26013.37890625,26038.093008074964
2.593409538269043,2.450000047683716,209.0,26014.080078125,26038.093008074964
2.5969250202178955,2.1499998569488525,208.0,26014.80859375,26038.093008074964
2.6005139350891113,1.5299999713897705,209.0,26015.5390625,26038.093008074964
2.6041269302368164,1.7799999713897705,209.0,26016.279296875,26038.524953472614
2.6087286472320557,2.3299999237060547,208.0,26017.19921875,26038.524953472614
2.612180709838867,2.2300000190734863,208.0,26017.91015625,26038.524953472614
2.6156787872314453,2.259999990463257,208.0,26018.638671875,26038.524953472614
2.6192328929901123,1.709999918937683,209.0,26019.349609375,26038.524953472614
2.6228511333465576,1.909999966621399,209.0,26020.080078125,26038.73601902642
2.62734317779541,2.450000047683716,207.0,26020.990234375,26038.73601902642
2.6308696269989014,2.359999895095825,207.0,26021.69921875,26038.73601902642
2.634381055831909,2.619999885559082,207.0,26022.4296875,26038.73601902642
2.6379802227020264,1.350000023841858,208.0,26023.16015625,26038.73601902642
2.6415176391601562,0.19999998807907104,206.0,26023.869140625,26038.728973362293
2.6460461616516113,3.359999895095825,202.0,26024.759765625,26038.728973362293
2.649641275405884,3.4700000286102295,203.0,26025.478515625,26038.728973362293
2.6531999111175537,0.1899999976158142,206.0,26026.150390625,26038.728973362293
2.6568000316619873,0.12999999523162842,202.0,26026.869140625,26038.728973362293
2.660344123840332,1.8600000143051147,198.0,26027.509765625,26038.501965969972
2.6648664474487305,3.559999942779541,197.0,26028.37890625,26038.501965969972
2.6683499813079834,0.08999999612569809,199.0,26029.0703125,26038.501965969972
2.671964168548584,-0.2800000011920929,196.0,26029.740234375,26038.501965969972
2.675626039505005,1.6699999570846558,191.0,26030.41015625,26038.501965969972
2.6792213916778564,2.0299999713897705,189.0,26031.05859375,26038.05333220208
2.6838507652282715,2.7300000190734863,188.0,26031.888671875,26038.05333220208
2.687437057495117,0.8299999833106995,189.0,26032.5,26038.05333220208
2.6910548210144043,0.3799999952316284,187.0,26033.16015625,26038.05333220208
2.694667100906372,1.659999966621399,184.0,26033.779296875,26038.05333220208
2.698263168334961,1.899999976158142,181.0,26034.388671875,26037.378022871242
2.7028980255126953,2.0999999046325684,180.0,26035.169921875,26037.378022871242
2.7065012454986572,0.6800000071525574,180.0,26035.76953125,26037.378022871242
2.710059404373169,0.5399999618530273,178.0,26036.359375,26037.378022871242
2.713581085205078,1.3199999332427979,175.0,26036.958984375,26037.378022871242
2.717139959335327,1.909999966621399,173.0,26037.5703125,26036.489871520793
2.721731185913086,1.5399999618530273,172.0,26038.359375,26036.489871520793
2.7252941131591797,0.32999998331069946,172.0,26038.958984375,26036.489871520793
2.728959798812866,0.32999998331069946,169.0,26039.58984375,26036.489871520793
2.732600688934326,1.3700000047683716,165.0,26040.19921875,26036.489871520793
2.7362141609191895,0.9099999666213989,163.0,26040.8203125,26035.37414401577
2.740802526473999,0.4399999976158142,161.0,26041.58984375,26035.37414401577
2.7443041801452637,1.0399999618530273,158.0,26042.169921875,26035.37414401577
2.7478349208831787,-0.03999999910593033,156.0,26042.75,26035.37414401577
2.7512929439544678,0.4899999797344208,153.0,26043.3203125,26035.37414401577
2.7549314498901367,0.9599999785423279,150.0,26043.888671875,26034.069469107373
2.759495735168457,0.04999999701976776,148.0,26044.638671875,26034.069469107373
2.763103723526001,0.9399999976158142,145.0,26045.208984375,26034.069469107373
2.7667815685272217,0.4899999797344208,142.0,26045.75,26034.069469107373
2.770373582839966,0.35999998450279236,140.0,26046.298828125,26034.069469107373
2.773932695388794,-0.029999999329447746,138.0,26046.830078125,26032.53661473249
2.778470754623413,0.6699999570846558,134.0,26047.478515625,26032.53661473249
2.781992197036743,0.28999999165534973,132.0,26048.0,26032.53661473249
2.7855210304260254,0.17999999225139618,130.0,26048.51953125,26032.53661473249
2.7891368865966797,0.8700000047683716,126.0,26049.009765625,26032.53661473249
2.7927093505859375,-0.09999999403953552,125.0,26049.490234375,26030.820429424482
2.797290086746216,-0.3799999952316284,122.0,26050.119140625,26030.820429424482
2.80086350440979,0.17999999225139618,118.0,26050.5703125,26030.820429424482
2.8043479919433594,0.47999998927116394,116.0,26051.009765625,26030.820429424482
2.807969331741333,0.20999999344348907,113.0,26051.439453125,26030.820429424482
2.8115031719207764,0.2199999988079071,111.0,26051.859375,26028.907566024434
2.816047191619873,0.47999998927116394,108.0,26052.41015625,26028.907566024434
2.819704055786133,0.3400000035762787,106.0,26052.830078125,26028.907566024434
2.823249340057373,0.07000000029802322,103.0,26053.19921875,26028.907566024434
2.8268299102783203,1.0499999523162842,100.0,26053.5703125,26028.907566024434
2.8302762508392334,-0.14000000059604645,100.0,26053.939453125,26026.807941125604
